order_id;user_id;order_date;time;order_hour_of_day;product_name;quantity;price;category;product_id
1000;140;15/10/2024;13:25:21;13;Detergent;3;30.00;Household;HH001
1000;140;15/10/2024;13:25:21;13;Floor Cleaner;1;20.00;Household;HH002
1000;140;15/10/2024;13:25:21;13;Dishwashing Liquid;3;18.00;Household;HH003
1000;140;15/10/2024;13:25:21;13;Soda;1;8.00;Beverages;BV003
1001;310;05/03/2024;19:09:22;19;Soap;3;15.00;Personal Care;PC001
1001;310;05/03/2024;19:09:22;19;Shampoo;3;35.00;Personal Care;PC002
1001;310;05/03/2024;19:09:22;19;Toothpaste;2;12.00;Personal Care;PC003
1001;310;05/03/2024;19:09:22;19;Toothbrush;1;10.00;Personal Care;PC004
1002;244;22/09/2024;22:07:02;22;Bread;3;15.00;Bakery;BK001
1002;244;22/09/2024;22:07:02;22;Milk;3;20.00;Dairy & Eggs;DE001
1002;244;22/09/2024;22:07:02;22;Butter;1;25.00;Dairy & Eggs;DE002
1002;244;22/09/2024;22:07:02;22;Cheese;3;30.00;Dairy & Eggs;DE003
1002;244;22/09/2024;22:07:02;22;Eggs;1;18.00;Dairy & Eggs;DE004
1002;244;22/09/2024;22:07:02;22;Yogurt;2;15.00;Dairy & Eggs;DE005
1003;140;13/11/2024;18:07:29;18;Soap;2;15.00;Personal Care;PC001
1003;140;13/11/2024;18:07:29;18;Shampoo;3;35.00;Personal Care;PC002
1003;140;13/11/2024;18:07:29;18;Toothpaste;2;12.00;Personal Care;PC003
1003;140;13/11/2024;18:07:29;18;Toothbrush;2;10.00;Personal Care;PC004
1003;140;13/11/2024;18:07:29;18;Face Wash;2;25.00;Personal Care;PC005
1004;50;01/03/2024;09:20:06;9;Chips;1;10.00;Snacks;SN001
1004;50;01/03/2024;09:20:06;9;Soda;1;8.00;Beverages;BV003
1004;50;01/03/2024;09:20:06;9;Popcorn;2;12.00;Snacks;SN003
1004;50;01/03/2024;09:20:06;9;Chocolate;3;15.00;Snacks;SN002
1004;50;01/03/2024;09:20:06;9;Biscuits;1;8.00;Snacks;SN004
1005;317;01/05/2024;11:27:43;11;Soap;1;15.00;Personal Care;PC001
1005;317;01/05/2024;11:27:43;11;Shampoo;1;35.00;Personal Care;PC002
1005;317;01/05/2024;11:27:43;11;Toothpaste;2;12.00;Personal Care;PC003
1005;317;01/05/2024;11:27:43;11;Toothbrush;1;10.00;Personal Care;PC004
1005;317;01/05/2024;11:27:43;11;Body Lotion;2;40.00;Personal Care;PC006
1005;317;01/05/2024;11:27:43;11;Potato;3;6.00;Fruits & Vegetables;FV005
1006;467;14/01/2024;19:40:21;19;Soap;2;15.00;Personal Care;PC001
1006;467;14/01/2024;19:40:21;19;Shampoo;3;35.00;Personal Care;PC002
1006;467;14/01/2024;19:40:21;19;Toothpaste;1;12.00;Personal Care;PC003
1006;467;14/01/2024;19:40:21;19;Toothbrush;1;10.00;Personal Care;PC004
1007;449;01/11/2024;10:06:27;10;Detergent;1;30.00;Household;HH001
1007;449;01/11/2024;10:06:27;10;Floor Cleaner;3;20.00;Household;HH002
1007;449;01/11/2024;10:06:27;10;Dishwashing Liquid;3;18.00;Household;HH003
1007;449;01/11/2024;10:06:27;10;Toilet Paper;2;12.00;Household;HH005
1008;181;08/11/2024;21:55:24;21;Detergent;1;30.00;Household;HH001
1008;181;08/11/2024;21:55:24;21;Floor Cleaner;3;20.00;Household;HH002
1008;181;08/11/2024;21:55:24;21;Dishwashing Liquid;2;18.00;Household;HH003
1008;181;08/11/2024;21:55:24;21;Tissue;2;8.00;Household;HH004
1009;396;01/04/2024;09:00:13;9;Coffee;2;25.00;Beverages;BV002
1009;396;01/04/2024;09:00:13;9;Sugar;3;12.00;Grains & Staples;GS004
1009;396;01/04/2024;09:00:13;9;Cookies;1;12.00;Bakery;BK003
1009;396;01/04/2024;09:00:13;9;Biscuits;2;8.00;Snacks;SN004
1009;396;01/04/2024;09:00:13;9;Face Wash;2;25.00;Personal Care;PC005
1010;113;07/03/2024;10:30:00;10;Bread;3;15.00;Bakery;BK001
1010;113;07/03/2024;10:30:00;10;Milk;3;20.00;Dairy & Eggs;DE001
1010;113;07/03/2024;10:30:00;10;Butter;2;25.00;Dairy & Eggs;DE002
1010;113;07/03/2024;10:30:00;10;Cheese;2;30.00;Dairy & Eggs;DE003
1010;113;07/03/2024;10:30:00;10;Yogurt;1;15.00;Dairy & Eggs;DE005
1011;313;16/05/2024;16:41:41;16;Rice;1;40.00;Grains & Staples;GS001
1011;313;16/05/2024;16:41:41;16;Cooking Oil;3;35.00;Grains & Staples;GS002
1011;313;16/05/2024;16:41:41;16;Spices;1;15.00;Grains & Staples;GS005
1011;313;16/05/2024;16:41:41;16;Potato;3;6.00;Fruits & Vegetables;FV005
1011;313;16/05/2024;16:41:41;16;Tomato;3;8.00;Fruits & Vegetables;FV004
1012;377;18/06/2024;15:07:04;15;Soap;3;15.00;Personal Care;PC001
1012;377;18/06/2024;15:07:04;15;Shampoo;3;35.00;Personal Care;PC002
1012;377;18/06/2024;15:07:04;15;Toothpaste;3;12.00;Personal Care;PC003
1012;377;18/06/2024;15:07:04;15;Toothbrush;3;10.00;Personal Care;PC004
1012;377;18/06/2024;15:07:04;15;Face Wash;1;25.00;Personal Care;PC005
1012;377;18/06/2024;15:07:04;15;Body Lotion;3;40.00;Personal Care;PC006
1012;377;18/06/2024;15:07:04;15;Yogurt;2;15.00;Dairy & Eggs;DE005
1013;230;21/10/2024;13:32:57;13;Bread;2;15.00;Bakery;BK001
1013;230;21/10/2024;13:32:57;13;Milk;1;20.00;Dairy & Eggs;DE001
1013;230;21/10/2024;13:32:57;13;Cheese;2;30.00;Dairy & Eggs;DE003
1013;230;21/10/2024;13:32:57;13;Eggs;3;18.00;Dairy & Eggs;DE004
1014;218;02/07/2024;19:08:12;19;Diapers;1;80.00;Baby Care;BC001
1014;218;02/07/2024;19:08:12;19;Baby Wipes;2;15.00;Baby Care;BC002
1014;218;02/07/2024;19:08:12;19;Baby Food;2;30.00;Baby Care;BC003
1015;416;04/11/2024;21:31:33;21;Soap;2;15.00;Personal Care;PC001
1015;416;04/11/2024;21:31:33;21;Shampoo;1;35.00;Personal Care;PC002
1015;416;04/11/2024;21:31:33;21;Toothpaste;2;12.00;Personal Care;PC003
1015;416;04/11/2024;21:31:33;21;Toothbrush;3;10.00;Personal Care;PC004
1015;416;04/11/2024;21:31:33;21;Face Wash;3;25.00;Personal Care;PC005
1015;416;04/11/2024;21:31:33;21;Body Lotion;2;40.00;Personal Care;PC006
1016;294;16/12/2024;11:26:32;11;Soap;2;15.00;Personal Care;PC001
1016;294;16/12/2024;11:26:32;11;Shampoo;1;35.00;Personal Care;PC002
1016;294;16/12/2024;11:26:32;11;Toothpaste;3;12.00;Personal Care;PC003
1016;294;16/12/2024;11:26:32;11;Body Lotion;2;40.00;Personal Care;PC006
1016;294;16/12/2024;11:26:32;11;Toilet Paper;2;12.00;Household;HH005
1017;414;25/08/2024;21:12:50;21;Coffee;3;25.00;Beverages;BV002
1017;414;25/08/2024;21:12:50;21;Sugar;3;12.00;Grains & Staples;GS004
1017;414;25/08/2024;21:12:50;21;Cookies;1;12.00;Bakery;BK003
